BLK,ROW,POS,GENO,ID,Total.Time,FreeFeeder,LeafModifier,WoodModifier,Ant,Cecidomyiidae,Tenthredinidae,Nepticulidae,Gracilliaridae,Agromyzidae,Notodontidae,Tortricidae,Aphididae,Formicidae,Chrysomelidae,Pentatomidae,Membracidae,Harmandia,Phyllocolpa,PetioleGall,LeafEdgeMine,SerpMine,BlotchMine,LombardyMine,Gluphisia,GreenNematus,RustylinedLeaftier,ObliqueBandedLeafRoller,SmokeyAphids,GreenAphids,Lasius_neoniger,AvgBA2014,AvgSize2014,Growth2012_2014,Growth2014_2015,BAI2012_2014,BAI2014_2015,AvgEFN2014,SDEFN2014,TotEFN2014,SLA2014,LA2014,BB2014,BS2014,GS2014,CT2014,Salicortin2014,Tremulacin2014,PG2014,TotalDefChem2014,CN2014,N2014
1,A,26,297,1 A 26,12,2.167,0.917,0.000,0.000,0.000,0.667,0.250,0.000,0.000,0.000,0.000,2.167,0.000,0.000,0.000,0.000,0.000,0.667,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.167,0.000,16.330,8422.960,3.358,4.038,1.464,1.543,5.410,15.260,42.280,0.333,0.778,12.370,13.330,123.220,234.000,110.780,8.350,3.745,3.670,7.415,17.610
1,A,27,198,1 A 27,12,0.417,0.333,0.000,0.000,0.000,0.083,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.083,0.000,0.000,0.083,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.590,6139.930,3.337,3.835,1.611,1.258,6.200,13.270,35.770,0.833,1.030,11.670,14.390,120.590,220.000,99.410,12.350,0.911,0.450,1.361,14.160
1,A,28,1,1 A 28,12,3.333,1.000,0.000,0.000,0.083,0.750,0.167,0.000,0.000,0.083,0.000,3.250,0.000,0.000,0.000,0.000,0.083,0.750,0.167,0.000,0.000,0.000,0.000,0.083,0.000,0.000,0.000,2.000,1.250,0.000,15.250,6622.620,3.282,3.937,1.796,1.564,5.410,14.930,41.850,1.083,1.311,13.690,12.770,119.460,252.000,132.540,8.460,4.985,6.490,11.475,22.390
1,B,1,170,1 B 1,6,0.333,0.333,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000,4.980,1070.140,2.951,1.917,2.020,0.077,4.070,NA,9.140,1.000,1.044,6.600,10.570,125.040,213.000,87.960,14.950,5.280,3.830,9.110,26.660
1,B,3,166,1 B 3,12,0.000,0.167,0.000,0.083,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.083,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.590,3346.180,3.024,3.564,1.199,1.231,2.580,7.360,25.960,1.083,0.996,9.460,9.330,124.410,224.000,99.590,18.260,4.904,5.680,10.584,31.260
1,B,4,230,1 B 4,6,5.000,0.167,0.000,0.833,0.000,0.167,0.000,0.000,0.000,0.000,0.000,5.000,0.833,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,9.370,3440.990,3.124,3.508,1.300,1.016,2.920,6.650,25.130,0.583,1.084,9.200,9.170,122.830,224.000,101.170,7.700,4.824,5.500,10.324,20.400
1,B,6,318,1 B 6,6,12.833,0.667,0.000,1.333,0.000,0.333,0.000,0.333,0.000,0.000,0.000,12.667,1.333,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,12.667,0.000,0.000,9.600,3559.600,3.176,3.482,1.323,0.909,3.510,6.940,19.180,0.500,0.905,9.310,10.910,121.970,227.000,105.030,18.510,3.062,4.490,7.552,27.570
1,B,8,140,1 B 8,6,0.000,0.667,0.000,0.000,0.000,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.690,680.110,2.681,NA,1.224,NA,1.630,3.730,13.210,1.000,1.044,10.610,15.120,122.090,230.000,107.910,14.700,3.008,2.200,5.208,21.390
1,B,9,264,1 B 9,3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,2.510,516.730,2.333,2.517,0.943,0.659,0.860,1.310,4.190,1.333,0.985,12.590,17.520,122.330,213.000,90.670,13.950,3.571,3.060,6.631,22.340
1,B,10,139,1 B 10,6,1.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.167,0.000,0.000,4.940,1170.540,2.543,3.150,1.395,1.396,1.600,5.080,17.310,0.667,0.985,12.600,12.190,122.680,213.000,90.320,21.260,1.441,0.640,2.081,24.050
1,B,11,331,1 B 11,12,0.250,0.167,0.000,0.000,0.000,0.000,0.000,0.083,0.000,0.250,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.083,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,6.940,2815.490,2.940,3.474,1.071,1.179,2.360,5.130,15.960,1.333,1.557,9.120,10.870,121.380,213.000,91.620,14.810,2.626,1.950,4.576,20.680
1,B,12,243,1 B 12,12,0.250,0.417,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.167,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.167,0.000,0.167,0.000,0.000,0.083,0.000,0.000,0.000,15.490,7707.550,3.436,3.925,1.511,1.224,6.170,12.580,34.750,0.500,0.905,10.300,14.090,119.520,NA,NA,13.850,2.472,1.480,3.952,19.020
1,B,16,253,1 B 16,6,0.000,1.333,0.000,0.000,0.000,0.667,0.167,0.333,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.167,0.167,0.000,0.167,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,4.970,1696.770,2.812,3.273,1.932,1.246,2.250,3.930,15.420,0.455,0.820,8.820,12.510,121.270,224.000,102.730,15.360,2.921,2.980,5.901,22.700
1,B,17,157,1 B 17,12,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.083,0.000,0.000,0.000,0.000,0.000,0.000,8.590,3426.380,3.028,3.604,1.398,1.346,3.250,7.080,24.650,0.333,0.651,8.200,9.990,121.820,227.000,105.180,18.360,4.375,5.210,9.585,30.100
1,B,18,98,1 B 18,12,16.750,2.000,0.000,1.000,0.000,0.750,0.833,0.250,0.000,0.167,0.000,16.500,1.000,0.000,0.000,0.000,0.000,0.750,0.833,0.000,0.000,0.250,0.000,0.000,0.000,0.167,0.000,16.500,0.000,1.000,9.820,3429.240,3.039,3.596,1.387,1.309,3.510,8.290,27.580,0.583,0.900,11.370,12.810,122.260,227.000,104.740,4.850,6.794,6.100,12.894,21.090
1,B,19,72,1 B 19,12,2.583,0.250,0.000,0.000,0.000,0.083,0.000,0.167,0.000,0.083,0.000,2.417,0.000,0.167,0.000,0.000,0.000,0.083,0.000,0.167,0.000,0.000,0.000,0.083,0.000,0.000,0.000,0.000,2.417,0.000,15.330,6367.000,3.309,3.876,1.523,1.357,5.540,14.220,39.510,0.667,0.985,13.680,21.210,124.450,238.000,113.550,7.710,6.037,6.950,12.987,23.670
1,B,20,88,1 B 20,6,2.667,0.500,0.000,0.000,0.000,0.000,0.000,0.167,0.333,0.000,0.000,2.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.333,0.000,0.000,0.000,0.000,0.000,2.667,0.000,8.800,3432.740,NA,NA,NA,NA,4.130,8.110,30.310,0.333,0.778,14.460,17.270,124.740,230.000,105.260,7.000,3.424,2.990,6.414,15.100
1,B,22,56,1 B 22,6,3.833,0.833,0.000,0.000,0.000,0.500,0.000,0.167,0.167,0.000,0.000,3.833,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.167,0.000,0.000,0.167,0.000,0.000,0.000,0.000,2.167,1.667,0.000,11.290,5121.470,3.146,3.834,1.706,1.609,4.090,10.590,34.070,0.250,0.622,9.020,9.320,121.900,248.000,126.100,13.980,5.320,6.250,11.570,28.170
1,B,23,136,1 B 23,12,0.167,1.333,0.000,0.000,0.000,0.667,0.583,0.083,0.083,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.583,0.583,0.083,0.000,0.000,0.083,0.083,0.083,0.000,0.000,0.000,0.000,0.000,9.480,3601.170,3.083,3.628,1.698,1.352,4.240,7.250,29.840,NA,NA,14.210,19.340,120.890,217.000,96.110,3.630,5.916,6.760,12.676,19.220
1,B,24,219,1 B 24,12,0.833,0.417,0.000,0.000,0.000,0.333,0.000,0.083,0.000,0.083,0.000,0.750,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.083,0.000,0.000,0.000,0.083,0.000,0.000,0.000,0.000,0.750,0.000,18.160,9845.540,3.685,3.906,1.788,0.868,7.890,13.820,51.160,0.250,0.622,10.880,11.740,122.040,252.000,129.960,17.030,1.769,0.660,2.429,20.330
1,B,25,274,1 B 25,3,3.667,1.667,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.667,3.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.000,0.333,0.000,0.000,0.000,0.000,0.667,0.000,3.667,0.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.727,1.009,10.100,9.700,124.080,213.000,88.920,23.170,5.635,6.060,11.695,37.640
1,B,26,28,1 B 26,3,0.333,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,1.420,274.450,1.635,2.605,0.892,1.872,0.340,1.460,6.040,1.667,0.778,10.580,8.830,130.400,244.000,113.600,10.090,3.698,3.530,7.228,19.140
1,B,28,129,1 B 28,12,3.083,0.583,0.000,0.000,0.000,0.250,0.000,0.333,0.000,0.000,0.000,3.083,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.167,0.000,0.167,0.000,0.000,0.000,0.000,0.000,2.583,0.500,0.000,15.340,6432.740,3.276,3.872,1.195,1.321,5.430,12.920,37.950,1.750,0.622,11.480,13.130,121.820,252.000,130.180,13.560,1.729,1.450,3.179,17.590
1,C,1,320,1 C 1,12,3.917,0.500,0.000,0.000,0.000,0.250,0.083,0.167,0.000,0.500,0.000,3.417,0.000,0.000,0.000,0.000,0.000,0.250,0.083,0.000,0.000,0.167,0.000,0.500,0.000,0.000,0.000,0.000,3.417,0.000,13.960,6205.140,3.358,3.817,1.514,1.176,5.690,10.390,32.620,0.333,0.778,15.030,15.060,121.820,230.000,108.180,11.820,3.765,2.650,6.415,20.090
1,C,3,353,1 C 3,6,5.667,1.000,0.000,0.000,0.000,0.167,0.333,0.500,0.000,0.333,0.000,5.333,0.000,0.000,0.000,0.000,0.000,0.167,0.333,0.333,0.000,0.167,0.000,0.333,0.000,0.000,0.000,3.667,1.667,0.000,5.370,1458.160,2.545,3.269,1.087,1.507,1.700,4.550,12.930,1.083,0.900,12.730,11.300,124.300,217.000,92.700,6.820,5.025,5.580,10.605,19.900
1,C,4,43,1 C 4,6,77.333,0.667,0.000,1.500,0.000,0.000,0.500,0.167,0.000,0.000,0.000,77.333,1.500,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,71.500,5.833,0.000,9.310,2523.950,2.839,3.460,1.016,1.299,3.070,7.310,21.070,0.833,0.937,11.550,13.930,124.740,252.000,127.260,7.120,4.281,3.800,8.081,17.310
1,C,5,196,1 C 5,6,0.333,0.167,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.167,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.167,0.000,0.000,7.000,2071.800,2.822,3.362,1.279,1.253,2.500,5.930,18.760,0.917,0.996,14.240,14.600,122.830,230.000,107.170,18.810,4.489,5.430,9.919,30.940
1,C,6,247,1 C 6,6,6.333,0.333,0.000,0.667,0.000,0.167,0.167,0.000,0.000,0.333,0.000,6.000,0.667,0.000,0.000,0.000,0.000,0.167,0.167,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,6.000,0.000,0.000,6.660,2134.210,2.800,3.326,0.886,1.089,2.020,5.030,19.020,0.417,0.793,11.050,10.950,121.820,224.000,102.180,12.680,4.121,2.730,6.851,21.560
1,C,7,325,1 C 7,6,0.167,0.167,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,9.600,3573.670,3.084,3.558,1.161,1.114,3.540,6.900,23.860,0.500,0.905,9.400,8.970,120.400,217.000,96.600,12.250,2.184,1.180,3.364,16.690
1,C,10,307,1 C 10,12,1.000,0.333,0.000,0.000,0.167,0.083,0.000,0.083,0.000,0.167,0.000,0.833,0.000,0.000,0.000,0.000,0.167,0.083,0.000,0.083,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.833,0.000,14.510,6890.310,3.380,3.842,1.208,1.109,5.320,10.780,31.460,1.667,1.155,15.300,17.150,122.190,213.000,90.810,15.930,3.055,2.650,5.705,23.140
1,C,11,108,1 C 11,6,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.080,1811.600,2.854,3.220,1.300,0.990,2.310,4.000,10.520,0.333,0.778,7.950,7.330,125.040,230.000,104.960,11.660,2.090,1.140,3.230,15.920
1,C,12,134,1 C 12,6,0.667,0.167,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.667,0.000,0.000,0.000,0.000,0.000,0.000,6.680,2357.510,2.930,3.403,1.507,1.199,2.460,5.780,21.590,1.083,0.996,10.870,7.880,123.430,220.000,96.570,3.040,5.112,5.660,10.772,16.330
1,C,15,171,1 C 15,12,2.417,0.417,0.000,0.000,0.250,0.000,0.167,0.000,0.000,0.083,0.000,2.333,0.000,0.000,0.000,0.000,0.250,0.000,0.167,0.000,0.000,0.000,0.000,0.083,0.000,0.000,0.000,2.333,0.000,0.000,12.890,6884.810,3.352,3.900,1.473,1.315,4.820,10.190,32.900,0.667,0.985,16.550,16.650,121.820,NA,NA,16.070,2.680,2.390,5.070,22.460
1,C,16,65,1 C 16,12,0.250,0.333,0.000,0.000,0.083,0.250,0.000,0.000,0.000,0.083,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.083,0.000,0.000,0.000,0.000,0.000,0.000,9.830,3833.080,3.075,3.554,0.873,1.014,3.080,5.920,8.350,0.583,0.900,11.370,14.280,125.470,252.000,126.530,7.830,5.963,6.200,12.163,22.930
1,C,17,174,1 C 17,6,0.000,0.167,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.160,2345.020,2.887,3.427,1.447,1.295,2.190,5.450,18.520,1.917,0.289,15.180,16.970,121.820,241.000,119.180,16.090,1.407,0.470,1.877,18.660
1,C,18,303,1 C 18,6,0.167,0.667,0.000,0.000,0.000,0.167,0.000,0.500,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.333,0.000,0.167,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,8.780,3519.250,3.074,3.624,1.822,1.380,3.590,7.630,25.210,0.667,1.073,13.570,11.410,123.340,241.000,117.660,9.820,5.916,4.710,10.626,23.360
1,C,19,364,1 C 19,6,2.333,1.333,0.000,0.000,0.000,0.000,0.500,0.667,0.000,0.000,0.167,2.167,0.000,0.000,0.167,0.000,0.000,0.000,0.500,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.167,2.167,0.000,0.000,3.960,1150.350,2.457,3.204,1.697,1.717,1.330,3.960,13.260,1.000,1.000,9.020,8.160,122.510,227.000,104.490,8.130,4.610,4.360,8.970,19.370
1,C,20,150,1 C 20,12,3.500,1.833,0.000,0.000,0.083,1.333,0.083,0.250,0.083,0.167,0.000,3.417,0.000,0.000,0.000,0.000,0.083,1.333,0.083,0.167,0.000,0.083,0.083,0.167,0.000,0.000,0.000,0.000,3.417,0.000,7.760,2656.850,2.937,3.484,1.436,1.305,3.020,6.290,22.960,0.000,0.000,12.350,11.990,123.340,241.000,117.660,15.600,2.539,1.780,4.319,21.170
1,C,21,292,1 C 21,12,0.667,1.167,0.000,0.000,0.000,0.250,0.417,0.417,0.083,0.083,0.000,0.583,0.000,0.000,0.000,0.000,0.000,0.250,0.417,0.333,0.000,0.083,0.083,0.083,0.000,0.000,0.000,0.000,0.583,0.000,16.980,8332.380,3.374,4.022,1.473,1.488,6.020,15.750,42.940,0.000,0.000,13.490,15.150,125.140,217.000,91.860,8.550,4.342,4.390,8.732,19.420
1,C,24,278,1 C 24,12,17.250,0.583,0.000,0.750,0.000,0.167,0.333,0.000,0.000,0.083,0.083,17.250,0.750,0.000,0.000,0.000,0.000,0.167,0.333,0.000,0.000,0.000,0.000,0.083,0.000,0.000,0.000,12.833,4.417,0.000,12.660,5516.690,3.262,3.806,1.551,1.324,4.590,10.960,32.020,0.333,0.778,16.070,17.330,119.640,252.000,132.360,12.280,3.156,2.410,5.566,19.400
1,C,25,60,1 C 25,12,2.417,1.333,0.000,0.000,0.000,0.167,0.583,0.333,0.000,0.000,0.000,2.333,0.000,0.000,0.000,0.000,0.000,0.167,0.583,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.333,0.000,13.130,5458.200,3.287,3.758,1.369,1.165,4.860,10.740,37.330,0.500,0.905,12.510,15.600,123.430,241.000,117.570,9.180,4.529,3.940,8.469,19.880
1,C,26,84,1 C 26,12,5.500,1.417,0.000,0.167,0.000,0.333,0.250,0.833,0.000,0.000,0.000,5.500,0.167,0.000,0.000,0.000,0.000,0.333,0.250,0.583,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.833,4.667,0.167,18.710,8230.930,3.394,3.992,1.363,1.373,6.720,17.250,53.430,0.417,0.793,10.890,11.730,124.590,213.000,88.410,5.320,5.293,5.990,11.283,19.210
1,C,27,209,1 C 27,12,3.750,1.750,0.000,0.000,0.000,1.000,0.167,0.500,0.083,0.000,0.000,3.667,0.000,0.000,0.000,0.083,0.000,1.000,0.167,0.083,0.000,0.417,0.083,0.000,0.000,0.000,0.000,2.917,0.750,0.000,13.970,6941.680,3.418,3.892,1.975,1.271,5.710,11.700,33.310,0.333,0.778,12.720,12.860,118.790,238.000,119.210,10.240,4.690,3.880,8.570,21.120
1,C,28,378,1 C 28,12,9.167,0.750,0.000,0.167,0.000,0.333,0.083,0.250,0.000,0.167,0.083,9.083,0.167,0.000,0.000,0.000,0.000,0.333,0.083,0.000,0.000,0.250,0.000,0.167,0.000,0.000,0.083,3.167,5.917,0.000,12.840,5080.630,3.158,3.807,1.456,1.485,4.660,11.300,35.470,0.583,0.900,16.080,14.540,122.970,217.000,94.030,12.620,4.496,6.970,11.466,26.300
1,D,1,217,1 D 1,6,22.833,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,22.833,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,22.833,0.000,0.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.917,0.996,NA,NA,124.900,248.000,123.100,18.540,2.017,1.370,3.387,22.920
1,D,4,356,1 D 4,6,3.833,0.167,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,3.833,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.833,0.000,0.000,3.590,669.290,2.336,2.879,1.364,1.281,1.190,3.370,7.430,1.000,1.044,8.390,9.870,125.360,213.000,87.640,7.560,3.866,3.930,7.796,17.260
