BLK,ROW,POS,GENO,ID,Total.time,FreeFeeder,LeafModifier,WoodModifier,Ant,Cecidomyiidae,Tenthredinidae,Nepticulidae,Graciliaridae,Lyonetiidae,Agromyzidae,Megalopodidae,Notodontidae,Noctuidae,Tortricidae,Aphididae,Formicidae,Chrysomelidae,Delphacidae,Pentatomidae,Harmandia,Phyllocolpa,PetioleGall,LeafEdgeMine,SerpMine,CottonwoodMine,BlotchMine,LombardyMine,BlackMine,LeafCurlMidge,CottonwoodDagger,RustylinedLeaftier,ObliqueBandedLeafRoller,GreenAphids,SmokeyAphids,Formica_glacialis,Lasius_neoniger,Lasius_alienus,AvgBA2015,AvgSize2015,Growth2014_2015,Growth2012_2015,BAI2014_2015,BAI2012_2015,SLA2015,LA2015,BB2015,BS2015,GS2015,CT2015,Salicortin2015,Tremulacin2015,PG2015,TotalDefChem2015,CN2015,N2015
1,A,18,218,1 A 18,9,24.889,2.000,0.000,3.667,0.000,0.889,0.667,0.222,0.000,0.111,0.000,0.000,0.000,0.000,24.889,3.667,0.000,0.000,0.000,0.000,0.889,0.667,0.111,0.000,0.000,0.111,0.111,0.000,0.000,0.000,0.000,0.000,24.889,0.000,0.000,3.667,0.000,27.240,15948.030,3.814,4.361,1.453,3.955,2.000,117.970,142.300,128.780,232.000,103.220,18.760,2.285,1.470,3.755,23.640,23.770
1,A,19,335,1 A 19,4.5,6.444,4.000,0.000,0.000,0.000,3.111,0.000,0.222,0.000,0.667,0.000,0.222,0.000,0.000,6.222,0.000,0.000,0.000,0.000,0.000,3.111,0.000,0.000,0.000,0.000,0.222,0.667,0.000,0.000,0.000,0.000,0.000,6.222,0.000,0.000,0.000,0.000,11.170,1935.290,3.123,NA,1.156,NA,9.000,119.330,139.600,133.620,198.000,64.380,16.010,2.801,2.320,5.121,22.510,26.190
1,A,20,277,1 A 20,9,1.889,1.556,0.000,0.111,0.111,0.333,0.556,0.111,0.000,0.444,0.000,0.000,0.000,0.000,1.778,0.111,0.000,0.000,0.000,0.000,0.333,0.556,0.000,0.111,0.000,0.000,0.444,0.000,0.111,0.000,0.000,0.000,1.111,0.667,0.000,0.111,0.000,20.230,10364.520,3.542,4.198,1.376,4.032,2.000,119.080,134.170,127.240,198.000,70.760,10.200,3.732,6.000,9.732,21.770,24.310
1,A,21,10,1 A 21,9,35.778,4.000,0.000,4.111,0.000,1.444,0.000,2.444,0.000,0.111,0.000,0.111,0.000,0.000,35.667,4.111,0.000,0.000,0.000,0.000,1.444,0.000,0.222,1.444,0.000,0.778,0.111,0.000,0.000,0.000,0.000,0.000,1.333,34.333,0.000,0.000,4.111,25.720,14143.230,3.828,4.291,1.666,3.774,7.000,111.260,138.200,128.410,240.000,111.590,17.540,3.705,3.910,7.615,26.980,25.870
1,A,24,327,1 A 24,6,14.667,1.833,0.000,2.333,0.000,0.500,0.167,0.167,0.167,0.667,0.167,0.000,0.000,0.000,14.667,2.333,0.000,0.000,0.000,0.000,0.500,0.167,0.000,0.167,0.167,0.000,0.667,0.167,0.000,0.000,0.000,0.000,3.000,11.667,0.000,2.333,0.000,22.580,12749.480,3.639,4.284,1.297,4.192,7.000,144.080,147.960,131.200,198.000,66.800,9.840,4.543,4.600,9.143,21.220,22.990
1,A,26,297,1 A 26,10.5,9.238,2.667,0.000,0.286,0.095,1.238,0.857,0.286,0.000,0.095,0.000,0.000,0.000,0.095,9.143,0.286,0.000,0.000,0.000,0.000,1.238,0.857,0.000,0.286,0.000,0.000,0.095,0.000,0.095,0.000,0.000,0.095,3.143,6.000,0.000,0.286,0.000,34.770,24874.730,4.038,4.546,1.543,3.956,4.000,123.700,139.860,132.320,240.000,107.680,10.600,4.623,5.500,10.123,23.000,22.740
1,A,27,198,1 A 27,12,46.167,2.917,0.000,0.583,0.917,1.500,0.000,0.083,0.000,0.333,0.000,0.083,0.000,0.000,46.167,0.583,0.000,0.000,0.000,0.833,1.500,0.000,0.000,0.083,0.000,0.000,0.333,0.000,0.083,0.000,0.083,0.000,0.000,46.167,0.000,0.000,0.583,30.370,18041.700,3.835,4.415,1.258,3.889,10.000,122.260,138.330,128.650,207.000,78.350,14.180,1.588,1.610,3.198,18.160,21.830
1,A,28,1,1 A 28,9,39.778,3.444,0.000,1.444,0.333,1.111,0.000,1.556,0.111,0.222,0.111,0.000,0.111,0.000,39.667,1.444,0.000,0.000,0.000,0.222,1.111,0.000,0.000,1.444,0.111,0.111,0.222,0.111,0.111,0.111,0.000,0.000,21.111,18.556,0.000,1.444,0.000,33.470,22308.700,3.937,4.522,1.564,4.483,9.000,114.730,134.860,127.430,240.000,112.570,6.770,4.636,8.580,13.216,22.270,25.940
1,B,1,170,1 B 1,3,5.000,3.000,0.000,0.000,0.333,0.667,1.000,0.333,0.000,0.333,0.000,0.333,0.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.667,1.000,0.333,0.000,0.000,0.000,0.333,0.000,0.333,0.000,0.333,0.000,5.000,0.000,0.000,0.000,0.000,10.050,2243.010,1.917,3.510,0.077,3.207,10.000,112.940,127.820,130.630,198.000,67.370,17.780,4.697,5.500,10.197,30.290,23.190
1,B,3,166,1 B 3,4.5,0.000,3.778,0.000,0.000,0.222,0.667,0.444,1.778,0.000,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.444,0.000,1.556,0.000,0.222,0.667,0.000,0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.280,10883.460,3.564,4.208,1.231,3.594,11.000,106.440,111.030,135.190,198.000,62.810,13.470,6.238,8.980,15.218,31.760,25.960
1,B,4,230,1 B 4,6,44.167,3.167,0.000,0.333,0.167,0.167,1.333,0.500,0.000,0.000,1.000,0.000,0.000,0.000,44.167,0.333,0.000,0.000,0.000,0.000,0.167,1.333,0.000,0.333,0.000,0.167,0.000,1.000,0.167,0.000,0.000,0.000,0.000,44.167,0.000,0.000,0.000,20.480,11475.990,3.508,4.241,1.016,3.581,7.000,108.960,127.130,132.320,198.000,65.680,17.430,4.543,5.900,10.443,30.110,29.770
1,B,6,318,1 B 6,6,21.167,5.333,0.000,0.500,0.167,0.167,1.167,3.000,0.000,0.167,0.667,0.000,0.167,0.000,21.000,0.500,0.000,0.000,0.000,0.000,0.167,1.167,0.667,2.333,0.000,0.000,0.167,0.667,0.167,0.167,0.000,0.000,1.667,19.333,0.500,0.000,0.000,17.440,8665.970,3.482,4.069,0.909,3.114,6.000,113.140,116.030,128.580,198.000,69.420,18.010,3.477,5.000,8.477,28.200,25.290
1,B,8,140,1 B 8,4.5,5.333,4.000,0.000,0.444,0.222,2.444,0.444,0.667,0.000,0.222,0.000,0.000,0.000,0.000,5.333,0.444,0.000,0.000,0.000,0.000,2.444,0.444,0.000,0.444,0.000,0.222,0.222,0.000,0.222,0.000,0.000,0.000,0.444,4.889,0.444,0.000,0.000,10.480,NA,NA,NA,NA,NA,10.000,132.270,143.990,128.580,207.000,78.420,13.170,1.320,0.650,1.970,15.790,22.360
1,B,9,264,1 B 9,3,0.667,4.333,0.000,0.000,0.000,1.333,3.000,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.333,0.000,0.000,0.000,0.000,0.000,1.333,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.333,0.000,0.000,0.000,0.000,4.180,1105.950,2.517,3.144,0.659,2.411,16.000,108.510,121.110,129.110,228.000,98.890,21.780,2.191,2.780,4.971,27.830,26.790
1,B,10,139,1 B 10,3,0.333,1.000,0.000,0.000,0.000,0.333,0.000,0.333,0.000,0.333,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.333,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.800,4198.270,3.150,3.807,1.396,4.037,8.000,117.210,127.830,130.300,218.000,87.700,22.840,1.461,1.280,2.741,26.300,28.730
1,B,11,331,1 B 11,6,0.000,0.667,0.000,0.167,0.000,0.000,0.333,0.000,0.000,0.167,0.167,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.167,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,13.740,8178.430,3.474,4.064,1.179,3.279,16.000,108.170,128.330,129.030,218.000,88.970,25.460,3.263,3.240,6.503,33.570,27.600
1,B,12,243,1 B 12,12,4.167,0.250,0.000,0.417,0.000,0.000,0.000,0.083,0.000,0.000,0.000,0.000,0.000,0.083,4.167,0.417,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.083,0.000,0.000,0.000,0.000,0.000,0.083,4.167,0.000,0.000,0.417,0.000,29.780,21466.510,3.925,4.481,1.224,3.692,4.000,117.050,139.860,127.430,198.000,70.570,18.670,1.970,1.600,3.570,23.210,24.910
1,B,16,253,1 B 16,6,0.000,0.833,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,6684.490,3.273,4.026,1.246,4.582,5.000,131.130,137.940,128.850,200.000,71.150,13.460,4.121,4.620,8.741,24.230,26.490
1,B,17,157,1 B 17,6,0.333,0.667,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.500,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.500,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.290,11524.130,3.604,4.237,1.346,3.920,4.000,122.540,127.030,129.240,240.000,110.760,16.840,3.229,4.130,7.359,25.790,27.440
1,B,18,98,1 B 18,6,5.000,2.000,0.000,0.667,0.000,0.167,0.833,0.667,0.000,0.167,0.000,0.000,0.000,0.167,5.000,0.667,0.000,0.000,0.000,0.000,0.167,0.833,0.333,0.000,0.000,0.333,0.167,0.000,0.000,0.000,0.000,0.167,5.000,0.000,0.000,0.667,0.000,21.860,12026.510,3.596,4.262,1.309,3.936,7.000,110.300,131.640,130.490,240.000,109.510,15.230,4.965,4.670,9.635,27.310,27.270
1,B,19,72,1 B 19,9,2.222,1.111,0.000,0.111,0.222,0.556,0.111,0.111,0.000,0.111,0.000,0.000,0.000,0.000,2.222,0.111,0.000,0.000,0.000,0.222,0.556,0.111,0.000,0.000,0.000,0.111,0.111,0.000,0.000,0.000,0.000,0.000,2.222,0.000,0.000,0.111,0.000,32.310,20813.010,3.876,4.490,1.357,4.015,6.000,127.500,175.800,131.700,198.000,66.300,15.900,5.079,7.400,12.479,30.880,29.170
1,B,20,88,1 B 20,6,0.333,0.667,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.167,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.167,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.880,13745.890,NA,4.335,NA,5.434,4.000,132.140,144.750,133.900,224.000,90.100,10.030,4.121,3.990,8.111,20.170,21.310
1,B,22,56,1 B 22,6,0.167,0.167,0.000,0.833,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.167,0.000,0.000,0.833,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.833,0.000,26.290,18079.100,3.834,4.436,1.609,4.489,3.000,116.440,134.540,130.980,240.000,109.020,13.910,5.005,7.950,12.955,29.330,26.690
1,B,23,136,1 B 23,6,6.833,2.333,0.000,0.667,1.000,0.167,0.333,0.500,0.000,0.333,0.000,0.000,0.000,0.000,6.667,0.667,0.000,0.167,0.000,1.000,0.167,0.333,0.167,0.167,0.000,0.167,0.333,0.000,0.000,0.000,0.000,0.000,6.667,0.000,0.000,0.000,0.667,22.270,13253.150,3.628,4.312,1.352,4.340,NA,138.350,157.660,127.740,240.000,112.260,4.150,6.439,7.960,14.399,21.720,26.060
1,B,24,219,1 B 24,6,5.667,0.667,0.000,0.000,0.000,0.333,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,3.333,0.000,0.000,0.000,2.333,0.000,0.333,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,39.790,29224.430,3.906,4.640,0.868,3.823,3.000,137.650,155.290,129.310,245.000,115.690,18.810,1.320,0.700,2.020,21.480,21.780
1,B,25,274,1 B 25,1.35,0.741,3.704,0.000,0.000,0.000,0.741,2.222,0.741,0.000,0.000,0.741,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.222,0.741,0.000,0.000,0.000,0.000,0.741,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,8.000,105.990,105.430,132.320,207.000,74.680,11.470,6.801,7.450,14.251,29.070,23.780
1,B,26,28,1 B 26,6,0.333,1.333,0.000,0.000,0.333,0.667,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.667,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,4.260,1339.040,2.605,3.337,1.872,4.296,18.000,145.520,161.460,136.910,228.000,91.090,8.890,4.476,5.500,9.976,21.070,22.760
1,B,28,129,1 B 28,12,13.583,0.667,0.000,0.250,0.000,0.167,0.000,0.333,0.000,0.083,0.000,0.000,0.000,0.083,13.583,0.250,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.333,0.000,0.000,0.083,0.000,0.000,0.000,0.000,0.083,8.500,5.083,0.000,0.000,0.250,31.600,19124.330,3.872,4.436,1.321,3.534,19.000,141.610,184.110,130.850,200.000,69.150,16.380,2.124,1.850,3.974,21.400,22.370
1,C,1,320,1 C 1,6,2.000,1.500,0.000,0.000,0.000,0.167,0.500,0.500,0.000,0.333,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.167,0.500,0.000,0.167,0.000,0.333,0.333,0.000,0.000,0.000,0.000,0.000,1.833,0.167,0.000,0.000,0.000,27.420,17546.690,3.817,4.397,1.176,3.683,4.000,118.510,136.940,128.610,198.000,69.390,11.300,3.330,3.340,6.670,19.610,21.570
1,C,3,353,1 C 3,6,3.167,0.833,0.000,0.000,0.000,0.500,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,2.500,0.500,0.000,0.000,0.000,10.990,4768.890,3.269,3.843,1.507,3.691,13.000,102.630,118.170,131.760,228.000,96.240,16.760,6.198,7.720,13.918,33.730,28.340
1,C,4,43,1 C 4,6,85.000,0.333,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,85.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,0.167,18.310,7580.280,3.460,4.034,1.299,3.353,9.000,113.800,153.600,133.080,228.000,94.920,15.960,4.496,5.740,10.236,28.410,28.650
1,C,5,196,1 C 5,6,45.500,0.500,0.000,0.833,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.167,0.000,45.000,0.833,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.167,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,1.667,43.333,0.833,0.000,0.000,15.130,7168.210,3.362,4.036,1.253,3.769,11.000,112.580,115.870,129.750,198.000,68.250,19.280,2.982,3.770,6.752,27.500,23.350
1,C,6,247,1 C 6,6,6.167,0.500,0.000,1.167,0.000,0.167,0.000,0.333,0.000,0.000,0.000,0.000,0.167,0.000,6.000,1.167,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.167,0.000,0.167,0.000,0.000,0.000,0.167,0.000,0.000,0.000,6.000,1.167,0.000,0.000,15.160,7249.860,3.326,4.036,1.089,3.239,5.000,125.370,139.430,128.780,198.000,69.220,17.260,3.853,2.820,6.673,25.830,26.120
1,C,7,325,1 C 7,6,3.500,0.667,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.167,3.333,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,3.333,0.000,0.167,0.000,0.000,19.760,10517.300,3.558,4.179,1.114,3.343,6.000,134.190,153.600,127.730,232.000,104.270,15.820,2.325,2.000,4.325,21.290,26.530
1,C,10,307,1 C 10,9,0.222,0.556,0.000,0.111,0.000,0.556,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.111,0.111,0.000,0.000,0.000,0.000,0.556,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.111,0.000,0.111,0.000,0.000,27.570,17116.250,3.842,4.359,1.109,3.152,18.000,113.250,131.220,129.110,198.000,68.890,20.840,3.712,4.520,8.232,30.900,25.820
1,C,11,108,1 C 11,6,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,10.190,4497.590,3.220,3.784,0.990,3.168,2.000,122.430,144.880,132.690,NA,NA,24.870,1.454,1.100,2.554,28.140,26.530
1,C,12,134,1 C 12,9,0.000,0.667,0.000,0.000,0.111,0.000,0.000,0.444,0.000,0.000,0.000,0.000,0.000,0.111,0.000,0.000,0.000,0.000,0.000,0.111,0.000,0.000,0.111,0.222,0.000,0.111,0.000,0.000,0.000,0.000,0.000,0.111,0.000,0.000,0.000,0.000,0.000,16.240,8790.650,3.403,4.137,1.199,4.055,13.000,129.810,75.060,129.840,207.000,77.160,11.170,4.275,6.440,10.715,23.990,24.670
1,C,15,171,1 C 15,8,6.625,0.875,0.000,0.000,0.000,0.125,0.250,0.250,0.000,0.250,0.000,0.000,0.250,0.000,6.375,0.000,0.000,0.000,0.000,0.000,0.125,0.250,0.250,0.000,0.000,0.000,0.250,0.000,0.000,0.250,0.000,0.000,6.375,0.000,0.000,0.000,0.000,26.940,20971.340,3.900,4.483,1.315,3.840,6.000,118.690,132.820,128.610,240.000,111.390,24.020,1.977,2.160,4.137,29.130,27.000
1,C,16,65,1 C 16,9,0.444,2.778,0.000,0.000,1.000,0.444,1.000,0.222,0.000,0.000,0.000,0.000,0.000,0.111,0.444,0.000,0.000,0.000,0.000,0.444,0.444,1.000,0.000,0.111,0.000,0.111,0.000,0.000,0.556,0.000,0.000,0.111,0.000,0.444,0.000,0.000,0.000,12.460,6717.230,3.554,3.842,1.014,2.215,7.000,133.620,169.260,134.890,228.000,93.110,16.800,4.683,6.090,10.773,29.880,26.730
1,C,17,174,1 C 17,9,0.778,0.333,0.000,0.111,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.778,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.444,0.333,0.000,0.111,0.000,14.330,8644.240,3.427,4.126,1.295,4.049,21.000,116.060,130.560,129.240,198.000,68.760,20.550,2.700,3.040,5.740,27.620,25.910
1,C,18,303,1 C 18,9,3.222,1.000,0.000,0.000,0.111,0.333,0.444,0.000,0.000,0.000,0.000,0.000,0.000,0.111,3.111,0.000,0.000,0.000,0.000,0.111,0.333,0.444,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.111,1.444,1.667,0.000,0.000,0.000,19.590,12284.950,3.624,4.272,1.380,4.417,8.000,128.340,149.150,132.540,198.000,65.460,13.300,5.286,5.620,10.906,26.810,25.560
1,C,19,364,1 C 19,6,0.000,1.833,0.000,0.000,0.000,0.333,1.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,1.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.930,4763.340,3.204,3.876,1.717,4.771,11.000,116.340,124.000,132.720,224.000,91.280,14.780,6.003,6.990,12.993,30.730,25.980
1,C,20,150,1 C 20,3,15.000,2.000,0.000,0.000,0.000,0.000,1.667,0.000,0.000,0.000,0.000,0.333,0.000,0.000,15.000,0.000,0.000,0.000,0.000,0.000,0.000,1.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.000,15.000,0.000,0.000,0.000,0.000,17.730,10462.500,3.484,4.217,1.305,4.128,0.000,121.570,138.060,129.840,207.000,77.160,17.070,2.854,2.940,5.794,24.270,23.720
1,C,21,292,1 C 21,12,11.083,2.917,0.000,0.750,0.583,1.833,0.333,0.083,0.000,0.000,0.000,0.000,0.000,0.083,11.000,0.750,0.000,0.000,0.000,0.583,1.833,0.333,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.083,11.000,0.000,0.000,0.750,0.000,35.450,25656.440,4.022,4.568,1.488,3.981,0.000,129.180,146.910,135.190,228.000,92.810,10.510,4.683,5.670,10.353,23.170,23.120
1,C,24,278,1 C 24,9,5.222,3.556,0.000,0.556,2.000,0.333,0.444,0.778,0.000,0.000,0.000,0.000,0.111,0.000,5.111,0.556,0.000,0.000,0.000,2.000,0.333,0.444,0.111,0.222,0.000,0.444,0.000,0.000,0.000,0.111,0.000,0.000,5.111,0.000,0.000,0.000,0.556,26.370,15205.800,3.806,4.326,1.324,3.787,4.000,124.330,155.690,129.100,203.000,73.900,12.570,3.296,3.670,6.966,21.160,19.960
